Date,TypeStylet,Stylet,HeureStylet,Lumiere,HeureLumiere
15/08/778,Gnomon,Roncevaux,09:42,Bourges,11:23
15/08/778,Stylet,Saint-Amour,09:42,Jumièges,11:00
15/08/778,Stylet,Saint-Amour,09:42,Grotte de Lombrives,08:12
15/08/778,Stylet,Rocamadour,10:25,St Julien de Mailloc,11:00
15/08/778,Stylet,Rocamadour,10:25,Loches,11:00
15/08/778,Stylet,Rocamadour,10:25,La Ferté-Alais,11:42
15/08/778,Stylet,Rocamadour,10:25,Lac-de-Trémelin,09:42

20/03/1815,Gnomon,Golfe-Juan,12:00,Strasbourg,10:17
20/03/1815,Stylet,Aléria,12:00,Sainte-Mère-Église,12:00
20/03/1815,Stylet,Aléria,12:00,Massif des Maures,11:00
20/03/1815,Stylet,Île-d'Aix,09:42,Mayence,11:38
20/03/1815,Stylet,Île-d'Aix,09:42,Pevensey,11:38
20/03/1815,Stylet,Île-d'Aix,09:42,Vézelay,12:00
20/03/1815,Stylet,Île-d'Aix,09:42,3RDV,12:00

30/05/1431,Gnomon,Sainte-Catherine-de-Fierbois,11:42,Orléans,10:56
30/05/1431,Stylet,Domrémy,11:42,Donon,11:00
30/05/1431,Stylet,Domrémy,11:42,Puy de Dôme,11:00
30/05/1431,Stylet,Coetquidan,11:42,Chinon,11:42
30/05/1431,Stylet,Coetquidan,11:42,Rouen,09:42

12/04/1365,Gnomon,Alise-Sainte-Reine,11:00,Sedan,09:22
12/04/1365,Stylet,Bouvines,11:00,Waterloo,08:12
12/04/1365,Stylet,Bouvines,11:00,Paris,11:38
12/04/1365,Stylet,Reims,10:22,Thury-sous-Clermont,08:12
12/04/1365,Stylet,Reims,10:22,Villefrancoeur,11:00

27/07/1214,Gnomon,Vouneuil-sur-Vienne,12:00,Cherbourg,05:31
27/07/1214,Stylet,Metz,11:38,Troyes,11:38
27/07/1214,Stylet,Metz,11:38,Brétigny,11:00
27/07/1214,Stylet,Château-Gaillard,11:00,Montereau,10:25
27/07/1214,Stylet,Château-Gaillard,11:00,Guérande,08:12

15/06/1066,Gnomon,Nouaillé-Maupertuis,11:42,Mont Saint Michel,07:31
15/06/1066,Stylet,Gergovie,10:25,Solesmes,11:00
15/06/1066,Stylet,Gergovie,10:25,Rumigny,11:00
15/06/1066,Stylet,Carignan,11:42,Bâle,08:01
15/06/1066,Stylet,Carignan,11:42,Boulogne-sur-Mer,08:01

19/7/933,Gnomon,Saint-Valentin,11:38,Pont Tancarville,08:53
19/7/933,Stylet,Châlus,11:38,Lampouy,08:12
19/7/933,Stylet,Fontevraud,11:38,Carnac,11:42
19/7/933,Stylet,Fontevraud,11:38,Beaufort-en-Vallée,08:12

18/05/1152,Gnomon,Loudun,12:00,Burgos,14:47
18/05/1152,Stylet,Pont de Noirmoutier,10:09,Pertuis d'Antioche,09:42
18/05/1152,Stylet,Pont de Noirmoutier,10:09,Mirebeau,11:38
18/05/1152,Stylet,Le Goulet,10:09,Beaugency,11:38
18/05/1152,Stylet,Le Goulet,10:09,Pic du Midi,11:00